DEPTH,DT,GR,LLD,LLS,PHIE,PHIT,RHOB,SW,TNPH,VWCL
1349.5,144.765,91.8046,1.946,1.695,0.021151,0.205394,2.1495,1.0,0.531749,0.7401
1349.6,142.9925,92.4518,2.0325,1.77,0.022946,0.206018,2.1588,1.0,0.518698,0.7354
1349.7,141.22,94.7474,2.119,1.845,0.016858,0.204269,2.1708,1.0,0.513523,0.7529
1349.8,138.89,97.7674,2.276,1.99,0.0001,0.196036,2.1834,1.0,0.518052,0.7871
1349.9,138.273,98.3304,2.3345,2.046,0.0001,0.203015,2.2005,1.0,0.527685,0.8151
1350.0,137.656,98.1624,2.393,2.102,0.0001,0.208884,2.2164,1.0,0.538308,0.8387
1350.1,137.026,97.695,2.474,2.179,0.0001,0.209172,2.2141,1.0,0.543175,0.8399
1350.2,136.857,97.975,2.5055,2.208,0.0001,0.208445,2.2164,1.0,0.537822,0.837
1350.3,136.688,97.3487,2.537,2.237,0.0001,0.207392,2.2263,1.0,0.531518,0.8327
1350.4,136.801,96.9832,2.587,2.281,0.0001,0.207881,2.2261,1.0,0.535242,0.8347
1350.5,137.245,98.4935,2.598,2.289,0.0001,0.212656,2.2227,1.0,0.545158,0.8539
1350.6,137.689,98.9876,2.609,2.297,0.0001,0.214468,2.2216,1.0,0.54929,0.8611
1350.7,139.141,98.4535,2.583,2.272,0.0001,0.214057,2.2278,1.0,0.546887,0.8595
1350.8,139.6805,98.1543,2.5485,2.2445,0.0001,0.214505,2.234,1.0,0.54615,0.8613
1350.9,140.22,97.9788,2.514,2.217,0.0001,0.214718,2.2334,1.0,0.548179,0.8621
1351.0,139.835,98.3916,2.453,2.176,0.0001,0.215678,2.2317,1.0,0.550223,0.866
1351.1,138.7835,99.1804,2.4565,2.1825,0.0001,0.217496,2.2304,1.0,0.552896,0.8733
1351.2,137.732,98.8274,2.46,2.189,0.0001,0.218545,2.2303,1.0,0.558329,0.8775
1351.3,134.923,97.958,2.549,2.265,0.0001,0.22065,2.2352,1.0,0.566897,0.886
1351.4,133.8765,97.9544,2.616,2.32,0.0001,0.223923,2.2428,1.0,0.573087,0.8991
1351.5,132.83,97.3803,2.683,2.375,0.0001,0.223825,2.254,1.0,0.568886,0.8987
1351.6,132.039,96.4875,2.791,2.467,0.0001,0.22027,2.2659,1.0,0.554431,0.8845
1351.7,132.0,96.4872,2.8105,2.487,0.0001,0.215393,2.2702,1.0,0.535576,0.8649
1351.8,131.961,98.421,2.83,2.507,0.0001,0.214726,2.2816,1.0,0.51605,0.8622
1351.9,131.608,100.4796,2.845,2.526,0.0001,0.214328,2.2985,1.0,0.495884,0.8606
1352.0,131.095,99.7937,2.8765,2.554,0.0001,0.209741,2.3046,1.0,0.477942,0.8422
1352.1,130.582,97.9066,2.908,2.582,0.0001,0.20339,2.3016,1.0,0.468696,0.8166
