DEPTH,DT,GR,LLD,LLS,PHIE,PHIT,RHOB,SW,TNPH,VWCL
1319.1744,130.6167,63.4215,5.0974,6.2971,0.239997,0.339868,2.0867,0.8752,0.5094,0.3809
1319.3268,124.4448,68.976,4.9085,6.367,0.239702,0.325714,2.1098,0.9577,0.47,0.3281
1319.4792,119.7209,72.3721,4.7866,6.3894,0.227412,0.310568,2.1375,0.999,0.4477,0.3172
1319.6316,115.9378,71.9963,4.9417,6.7637,0.197579,0.292935,2.1738,0.9855,0.4474,0.3637
1319.784,116.1676,73.5745,5.105,6.986,0.192031,0.293053,2.175,0.9494,0.4569,0.3853
1319.9364,117.015,72.5065,5.2472,7.2425,0.19133,0.296464,2.1696,0.8967,0.4677,0.401
1320.0888,117.4497,72.6772,5.2465,7.1713,0.194646,0.300306,2.1625,0.8634,0.473,0.403
1320.2412,119.9726,70.007,5.4387,6.9535,0.188849,0.30049,2.1637,0.8568,0.4831,0.4258
1320.3936,122.4129,71.8886,5.3931,6.6848,0.177141,0.304153,2.1607,0.8101,0.5128,0.4845
1320.546,123.2284,73.6598,5.351,6.0951,0.166358,0.313316,2.1486,0.8196,0.5565,0.5605
1320.6984,123.5216,71.099,5.0544,5.5994,0.176829,0.317632,2.1389,0.8819,0.5514,0.5371
1320.8508,124.7401,72.4257,5.3726,5.8847,0.187561,0.320283,2.1319,0.8852,0.541,0.5062
1321.0032,124.3137,73.6145,6.3232,6.7494,0.211646,0.317544,2.1302,0.674,0.4934,0.4039
1321.1556,123.8326,82.3213,6.6568,7.1325,0.206956,0.318653,2.1296,0.7413,0.5043,0.426
1321.308,123.4962,86.0209,7.346,7.9945,0.229195,0.318433,2.1243,0.7714,0.4669,0.3404
1321.4604,125.9469,83.5755,7.5502,9.0048,0.242296,0.327214,2.1067,0.6729,0.4699,0.3239
1321.6128,129.655,75.5026,7.0572,7.9709,0.278254,0.346406,2.0663,0.6961,0.4644,0.2599
1321.7652,130.0659,71.7111,7.0714,7.6496,0.275855,0.35527,2.0526,0.711,0.4934,0.3029
1321.9176,132.5968,68.3464,7.5173,7.7663,0.236853,0.329365,2.1046,0.7457,0.485,0.3529
1322.07,133.1972,64.4215,7.6245,7.8016,0.187836,0.297741,2.1684,0.8038,0.4771,0.4192
1322.2224,128.5,58.3367,8.3755,8.7537,0.104102,0.25369,2.2613,0.7012,0.4916,0.5706
1322.3748,130.4016,60.3738,8.3614,8.2202,0.050604,0.230232,2.2743,0.7432,0.5381,0.6851
1322.5272,134.344,64.9601,5.7129,5.619,0.000768,0.234026,2.2163,0.9507,0.6712,0.8897
1322.6796,136.12,66.1983,4.7602,4.6877,0.000373,0.239975,2.166,1.0,0.7138,0.9139
1322.832,139.8421,66.9514,4.7476,4.3575,0.002135,0.229218,2.1145,1.0,0.7229,0.8661
1322.9844,140.5867,67.4646,4.9863,4.3983,0.021004,0.216412,2.1145,1.0,0.6655,0.7453
1323.1368,139.3378,71.1836,5.1682,4.5123,0.026664,0.217672,2.1152,1.0,0.6571,0.7285
1323.2892,138.9911,73.379,5.2154,4.4667,0.059377,0.23614,2.1132,1.0,0.6324,0.6742
